차명,변속기,인승,기통,마력,최대토크,연료,주행거리,상담
벤츠 G63 AMG,자동,5인승,8기통,544마력,77.5kgm,가솔린,9만km,
BMW M4 1세대 쿠페  컴페티션 헤리티지 에디션 ,자동,4인승,6기통,450마력,56.1kgm,가솔린,9천km,"8,000"
BMW 740e i퍼포먼스 M 스포츠,자동,5인승,4기통,326마력,51kgm,가솔린+전기,2만km,
벤츠 S560L 4매틱,자동,5인승,8기통,469마력,71.4kgm,가솔린,7만km,
벤츠 S560L 4매틱,자동,5인승,8기통,469마력,71.4kgm,가솔린,11만km,
벤츠 마이바흐 S500L 4매틱,자동,5인승,8기통,455마력,71.4kgm,가솔린,9만km,
포르쉐 카이엔 3.0 디젤 플래티늄 에디션,자동,5인승,6기통,262마력,59.2kgm,디젤,7만km,
재규어 뉴 XJ 3.0d V6 LWB 프리미엄 럭셔리,자동,4인승,6기통,275마력,61.2kgm,디젤,12만km,
벤츠 GLC 300 4매틱 AMG 라인,자동,5인승,4기통,245마력,37.7kgm,가솔린,1만km,
아우디 A7 50 TFSI 콰트로 스포츠,자동,4인승,6기통,333마력,44.9kgm,가솔린,5만km,
벤츠 CLS53 AMG 4매틱 플러스,자동,5인승,6기통,435마력,53kgm,가솔린,2천km,
벤츠 와이즈오토 스프린터 유로스타 319KB 11인승,자동,,,,,디젤,3만km,
포르쉐 마칸 3.0 S 디젤,자동,5인승,6기통,258마력,59.2kgm,디젤,4만km,
벤츠 S63 AMG 4매틱 플러스 쿠페,자동,4인승,8기통,612마력,91.8kgm,가솔린,7천km,
﻿렉서스 뉴 ES 300h 슈프림,자동,5인승,4기통,203마력,,가솔린+전기,18만km,"1,590"
혼다 파일럿 3.5 4WD,자동,8인승,6기통,284마력,36.2kgm,가솔린,7만km,"2,670"
렉서스 ES 350 프리미엄,자동,5인승,6기통,277마력,35.3kgm,가솔린,14만km,630
BMW 320d GT xDrive,자동,5인승,4기통,190마력,40.8kgm,디젤,6만km,"3,290"
렉서스 LS 600hL,자동,5인승,8기통,445마력,,가솔린+전기,17만km,"2,150"
도요타 프리우스C 1.5 하이브리드,자동,5인승,4기통,101마력,,가솔린+전기,2만km,"1,780"
인피니티 Q50 2.2d 프리미엄,자동,5인승,4기통,170마력,40.8kgm,디젤,5만km,"1,900"
벤츠 SLK200K,자동,2인승,4기통,163마력,24.5kgm,가솔린,20만km,890
캐딜락 에스컬레이드 6.2 V8 ESV AWD,자동,,,,,가솔린,5만km,
볼보 V60 폴스타,자동,5인승,4기통,367마력,47.9kgm,가솔린,4만km,"4,550"
링컨 네비게이터 3.5 4WD 블랙 라벨 L,자동,9인승,,,,가솔린,6만km,"9,970"
벤츠 G63 AMG 크레이지컬러 에디션,자동,5인승,8기통,544마력,77.5kgm,가솔린,6만km,"11,930"
스즈키 그랜드 비타라 2.4 4WD,자동,4인승,,,,가솔린,4만km,"1,550"
벤츠 S63 AMG,자동,5인승,,,,가솔린,9만km,"2,750"
벤츠 S63L AMG 4매틱 플러스,자동,5인승,8기통,612마력,91.8kgm,가솔린,2만km,"15,700"
렉서스 뉴 IS 300 슈프림,자동,5인승,4기통,245마력,35.7kgm,가솔린,1만km,"3,690"
렉서스 뉴 IS 300 프리미엄,자동,5인승,4기통,245마력,35.7kgm,가솔린,1만km,"3,390"
BMW 750Li xDrive,자동,5인승,8기통,449마력,66.3kgm,가솔린,2만km,
벤츠 S350 d 4매틱,자동,5인승,6기통,286마력,61.2kgm,디젤,8천km,
BMW X5 xDrive 30d 비전 100 에디션,자동,5인승,6기통,258마력,57.1kgm,디젤,7만km,
람보르기니 우라칸 LP610-4,자동,2인승,10기통,610마력,57.1kgm,가솔린,1만km,
포드 익스플로러 2.3 에코부스트 리미티드,자동,7인승,4기통,274마력,41.5kgm,가솔린,5만km,
아우디 A8 55 TFSI 콰트로 LWB,자동,5인승,6기통,340마력,51kgm,가솔린,8천km,
포르쉐 마칸 3.0 S 디젤,자동,5인승,6기통,258마력,59.2kgm,디젤,6만km,
애스턴마틴 DB11 4.0 V8 쿠페,자동,4인승,8기통,510마력,68.9kgm,가솔린,1만km,"18,999"
크라이슬러 퍼시피카 리미티드,자동,6인승,6기통,253마력,36.2kgm,가솔린,13만km,777
피아트 500 아바스 1.4 C,수동,,,,,가솔린,5만km,
도요타 FJ크루져 4WD,자동,5인승,,,,가솔린,14만ml,"2,299"
마세라티 콰트로포르테 3.0 V6,자동,5인승,6기통,350마력,51kgm,가솔린,10만km,
BMW M4 쿠페 DTM 챔피언 에디션,자동,2인승,,,,가솔린,4천km,
도요타 시에나 3.5 4WD,자동,7인승,6기통,301마력,36.4kgm,가솔린,1만km,
포드 머스탱 쿠페,자동,4인승,4기통,291마력,44.9kgm,가솔린,2만km,"2,750"
마세라티 르반떼 3.0 그란스포츠,자동,5인승,6기통,350마력,51kgm,가솔린,3만km,
BMW X4 M40i,자동,5인승,6기통,360마력,47.4kgm,가솔린,2만km,
BMW 320d ED 에디션,자동,5인승,4기통,163마력,38.8kgm,디젤,8만km,"1,000"
포르쉐 뉴 카이엔 3.0 쿠페,자동,4인승,6기통,340마력,45.9kgm,가솔린,4천km,"5,550"
아우디 A6 4세대 35 TDI 프리미엄 ,자동,5인승,4기통,190마력,40.8kgm,디젤,6만km,"2,229"
BMW 5 6세대 520d 럭셔리 ,자동,5인승,4기통,190마력,40.8kgm,디젤,11만km,"1,490"
벤츠 E 10세대 E220 d 아방가르드 ,자동,5인승,4기통,194마력,40.8kgm,디젤,9만km,"2,999"
BMW 3 6세대 320d 스포츠 ,자동,5인승,4기통,184마력,38.8kgm,디젤,14만km,"1,010"
BMW 5 6세대 520d ,자동,5인승,4기통,190마력,40.8kgm,디젤,15만km,"1,390"
BMW 530i 럭셔리 라인 플러스,자동,5인승,4기통,252마력,35.7kgm,가솔린,3만km,"4,450"
지프 올 뉴 그랜드체로키 3.6 V6 오버랜드,자동,5인승,6기통,286마력,35.4kgm,가솔린,5천km,"4,950"
포드 익스플로러 2.3 에코부스트 리미티드 ,자동,7인승,4기통,274마력,41.5kgm,가솔린,2만km,0
아우디 A6 5세대  40 TDI 프리미엄 ,자동,5인승,4기통,204마력,40.8kgm,디젤,3천km,80
BMW X5 4세대  xDrive 30d M 스포츠 ,자동,5인승,6기통,265마력,63.2kgm,디젤,1만km,390
랜드로버 디스커버리 스포츠 2.0 TD4 HSE 럭셔리,자동,5인승,4기통,180마력,43.9kgm,디젤,6만km,0
마세라티 콰트로포르테 3.0 디젤 ,자동,5인승,6기통,275마력,61.2kgm,디젤,1만km,290
랜드로버 올 뉴 디스커버리 2.0 SD4 SE,자동,7인승,4기통,240마력,51kgm,디젤,1만km,
BMW X4 M 3.0,자동,5인승,6기통,480마력,61.2kgm,가솔린,1만km,
애스턴마틴 DB11 4.0 V8 볼란테,자동,4인승,8기통,510마력,68.9kgm,가솔린,7천km,
지프 올 뉴 랭글러 2.0 루비콘 4도어 파워 탑,자동,5인승,4기통,272마력,40.8kgm,가솔린,1만km,
재규어 F타입 3.0 컨버터블 S,자동,2인승,6기통,380마력,46.9kgm,가솔린,8만km,
벤츠 S350 d 4매틱,자동,5인승,6기통,286마력,61.2kgm,디젤,4만km,
벤츠 GLS 350d 4매틱,자동,7인승,6기통,258마력,63.2kgm,디젤,6만km,"7,080"
도요타 시에나 3.5,자동,7인승,6기통,301마력,36.4kgm,가솔린,4만km,
마세라티 콰트로포르테 3.8 GTS,자동,5인승,8기통,530마력,72.4kgm,가솔린,6만km,
벤틀리 뉴 컨티넨탈 GT 4.0 V8,자동,4인승,8기통,550마력,78.5kgm,가솔린,3천km,
마세라티 르반떼 3.0 그란스포츠,자동,5인승,6기통,350마력,51kgm,가솔린,1만km,
벤츠 S600L,자동,5인승,,,,가솔린,8천km,"16,500"
포르쉐 911 터보,자동,4인승,6기통,420마력,57.1kgm,가솔린,7만km,
벤츠 E300 4매틱 아방가르드,자동,5인승,4기통,245마력,37.7kgm,가솔린,1만km,
롤스로이스 고스트 시리즈2 V12 6.6 블랙 배지,자동,5인승,12기통,612마력,85.6kgm,가솔린,2만km,
벤틀리 뉴 컨티넨탈 플라잉스퍼 6.0 W12 퍼스트 에디션,자동,5인승,,,,가솔린,375km,
포르쉐 뉴 911 카레라 S 카브리올레,자동,4인승,6기통,458마력,54.1kgm,가솔린,5천km,
아우디 R8 5.2 V10 스파이더,자동,2인승,,,,가솔린,1만km,
벤츠 CLA220 AMG 라인,자동,5인승,4기통,184마력,30.6kgm,가솔린,2만km,
볼보 S90 D5 AWD 인스크립션,자동,5인승,4기통,235마력,49kgm,디젤,1만km,
벤츠 E220 d 4매틱 익스클루시브,자동,5인승,4기통,194마력,40.8kgm,디젤,9천km,
마세라티 그란투리스모 S 4.7 V8,자동,4인승,8기통,440마력,50kgm,가솔린,12만km,"4,100"
﻿BMW 650i 컨버터블,자동,4인승,8기통,367마력,50kgm,가솔린,1만km,
BMW 730Ld xDrive,자동,5인승,6기통,265마력,63.2kgm,디젤,12만km,
미니 쿠퍼 컨버터블 2세대 S 1.6  ,자동,4인승,4기통,175마력,26.5kgm,가솔린,13만km,930
랜드로버 뉴 레인지로버 5.0 V8 SC 오토바이오그래피 블랙 LWB,자동,,,,,가솔린,4만km,"17,000"
포르쉐 911 카레라 S 카브리올레,자동,4인승,6기통,400마력,44.9kgm,가솔린,5만km,"9,850"
다이하쓰 웨이크 G,자동,,,,,가솔린,4만km,"1,850"
람보르기니 아벤타도르 LP740-4 S 로드스터,자동,2인승,,,,가솔린,8천km,
벤츠 E220,자동,5인승,,,,가솔린,34만km,"1,000"
벤츠 560 SEL,자동,5인승,,,,가솔린,17만km,"3,500"
랜드로버 뉴 레인지로버 4.4 SDV8 오토바이오그래피,자동,5인승,8기통,339마력,71.4kgm,디젤,10만km,"6,950"
쉐보레 익스프레스밴 6.0 4WD,자동,,,,,가솔린,3만km,
벤츠 마이바흐 S560 4매틱,자동,5인승,8기통,469마력,71.4kgm,가솔린,4만km,계약
페라리 458 이탈리아,자동,2인승,8기통,570마력,55.1kgm,가솔린,4만km,
포르쉐 911 터보,자동,4인승,6기통,500마력,63.2kgm,가솔린,5만km,계약
벤츠 CLS 400 d 4매틱,자동,5인승,6기통,340마력,71.4kgm,디젤,1만km,
마쯔다 MX-5 2.0 로드스터,수동,2인승,,,,가솔린,3천km,
포르쉐 911 터보 S,자동,4인승,6기통,580마력,71.4kgm,가솔린,2만km,
BMW 630i GT xDrive M 스포츠,자동,5인승,6기통,258마력,40.8kgm,가솔린,8천km,
벤틀리 컨티넨탈 플라잉스퍼 4.0,자동,4인승,8기통,507마력,67.3kgm,가솔린,6만km,
볼보 S80 2.9,자동,5인승,6기통,204마력,28.6kgm,가솔린,14만km,350
벤츠 마이바흐 S560 4매틱,자동,5인승,8기통,469마력,71.4kgm,가솔린,2만km,
BMW 3 6세대  320d ,자동,5인승,4기통,190마력,40.8kgm,디젤,6만km,"2,090"
벤츠 E200 카브리올레,자동,4인승,4기통,184마력,27.5kgm,가솔린,3만km,
BMW 5 7세대  520d xDrive M 스포츠 플러스 ,자동,5인승,4기통,190마력,40.8kgm,디젤,5만km,"4,490"
포르쉐 타이칸 4S,자동,4인승,,,,전기,2천km,
BMW X6 30d xDrive M 스포츠,자동,5인승,,,,디젤,1만km,"10,500"
롤스로이스 던 V12 6.6 블랙 배지,자동,4인승,12기통,601마력,85.7kgm,가솔린,5천km,
피아트 프리몬트 2.0  ,자동,7인승,4기통,170마력,37.5kgm,디젤,16만km,750
지프 올 뉴 랭글러 2.0 루비콘 4도어 파워 탑,자동,5인승,4기통,272마력,40.8kgm,가솔린,2만km,"5,290"
벤츠 E200 아방가르드,자동,5인승,4기통,184마력,30.6kgm,가솔린,7만km,
벤츠 S63 AMG,자동,5인승,,,,가솔린,14만km,
포르쉐 911 카레라 GTS 카브리올레,자동,4인승,6기통,450마력,56.1kgm,가솔린,2만km,계약
페라리 488 피스타 스파이더,자동,2인승,,,,가솔린,560km,
랜드로버 뉴 레인지로버 스포츠 3.0 SDV6 오토바이오그래피 다이나믹,자동,5인승,6기통,306마력,71.4kgm,디젤,5만km,계약
BMW 740i,자동,5인승,6기통,326마력,45.9kgm,가솔린,16만km,보류
BMW 750Li xDrive 뱅앤올룹슨,자동,5인승,8기통,450마력,66.3kgm,가솔린,14만km,보류
벤츠 E350 카브리올레,자동,4인승,6기통,272마력,35.7kgm,가솔린,19만km,보류
미니 쿠퍼 D 2.0 SE,자동,4인승,4기통,112마력,27.5kgm,디젤,16만km,보류
포르쉐 파나메라 2.9 4S,자동,4인승,6기통,440마력,56.1kgm,가솔린,5만km,
랜드로버 디스커버리 스포츠 2.0 TD4 HSE 럭셔리,자동,5인승,4기통,180마력,43.9kgm,디젤,9만km,"2,430"
BMW M5 세단,자동,5인승,8기통,,,가솔린,16만km,
스즈키 허슬러 0.6,자동,,,,,가솔린,8만km,"1,530"
벤츠 C220 d 아방가르드,자동,5인승,4기통,170마력,40.8kgm,디젤,9만km,"2,470"
벤츠 C220 블루텍 아방가르드,자동,5인승,4기통,170마력,40.8kgm,디젤,9만km,"2,190"
아우디 A6 2.0 TDI 다이내믹,자동,5인승,4기통,177마력,38.8kgm,디젤,7만km,"1,730"
BMW 320d,자동,5인승,4기통,184마력,38.8kgm,디젤,16만km,940
아우디 S8 4.0 TFSI 콰트로,자동,5인승,8기통,520마력,66.3kgm,가솔린,9만km,"5,290"
맥라렌 600LT 쿠페,자동,,,,,가솔린,2천km,
맥라렌 GT 4.0 V8,자동,2인승,8기통,620마력,64.3kgm,가솔린,3천km,
맥라렌 720S 쿠페,자동,2인승,8기통,720마력,71.4kgm,가솔린,475km,
맥라렌 720S 쿠페,자동,2인승,8기통,720마력,71.4kgm,가솔린,364km,
맥라렌 720S 쿠페,자동,2인승,8기통,720마력,71.4kgm,가솔린,352km,
맥라렌 720S 스파이더,자동,2인승,8기통,720마력,71.4kgm,가솔린,1천km,
맥라렌 720S 쿠페,자동,2인승,8기통,720마력,71.4kgm,가솔린,300km,
맥라렌 720S 쿠페,자동,2인승,8기통,720마력,71.4kgm,가솔린,1천km,
롤스로이스 컬리넌 6.8 V12,자동,,,,,가솔린,1만km,
벤츠 E400 4매틱 인텔리전트,자동,5인승,6기통,333마력,49kgm,가솔린,8만km,
포르쉐 911 카레라 4 GTS 카브리올레,자동,4인승,6기통,450마력,56.1kgm,가솔린,2만km,
BMW 3 5세대 320d M 스포츠 ,자동,5인승,4기통,177마력,35.7kgm,디젤,16만km,720
람보르기니 우루스 4.0 V8,자동,5인승,8기통,650마력,86.7kgm,가솔린,500km,"36,500"
아우디 A4 4세대 2.0 TDI  다이내믹 ,자동,5인승,4기통,150마력,32.6kgm,디젤,8만km,"1,530"
롤스로이스 고스트 6.7 V12 EWB,자동,,,,,가솔린,360km,
BMW M5 세단,자동,5인승,8기통,608마력,76.5kgm,가솔린,1만km,
BMW 320i,자동,5인승,4기통,184마력,27.5kgm,가솔린,4만km,
벤츠 S450L 4매틱,자동,5인승,6기통,367마력,51kgm,가솔린,4만km,
볼보 S90 D5 AWD 인스크립션,자동,5인승,4기통,235마력,49kgm,디젤,5천km,
도요타 소아라 2.5 트윈터보,자동,,,,,가솔린,23만km,
랜드로버 뉴 레인지로버 5.0 V8 SC 오토바이오그래피,자동,5인승,8기통,525마력,63.8kgm,가솔린,4천km,
벤츠 S400L 4매틱,자동,5인승,6기통,333마력,49kgm,가솔린,10만km,
벤츠 GLC 300e 4매틱 쿠페,자동,5인승,4기통,320마력,57.1kgm,가솔린+전기,8천km,
﻿도요타 타코마 픽업 3.5 4WD,자동,,,,,가솔린,9만km,"3,850"
지프 랭글러 2.8 루비콘 4도어 언리미티드,자동,5인승,4기통,200마력,46.9kgm,디젤,11만km,"3,780"
지프 글래디에이터 3.6 V6 루비콘,자동,5인승,,,,가솔린,3천km,"7,500"
포르쉐 911 카레라 4S,자동,4인승,6기통,420마력,51kgm,가솔린,1만km,
BMW 730d xDrive ,자동,5인승,6기통,258마력,57.1kgm,디젤,14만km,
랜드로버 뉴 레인지로버 4.4 SDV8 보그 SE,자동,5인승,8기통,339마력,75.5kgm,디젤,3만km,
벤틀리 벤테이가 6.0 W12,자동,5인승,12기통,608마력,91.8kgm,가솔린,4만km,
벤츠 S63L AMG 4매틱,자동,5인승,8기통,585마력,91.8kgm,가솔린,13만km,
랜드로버 디스커버리4 3.0 SDV6 SE,자동,7인승,6기통,255마력,61.2kgm,디젤,6만km,
포르쉐 마칸 3.0 S 디젤,자동,5인승,6기통,258마력,59.2kgm,디젤,6만km,
롤스로이스 고스트 시리즈2 V12 6.6 블랙 배지,자동,5인승,12기통,612마력,85.6kgm,가솔린,1만km,
링컨 네비게이터 3.5 4WD 블랙 라벨 L,자동,9인승,,,,가솔린,31km,
캐딜락 에스컬레이드 6.2 V8 ESV 4WD 플래티넘,자동,,,,,가솔린,165km,
BMW 3 5세대 320i  ,자동,5인승,4기통,150마력,20.4kgm,가솔린,13만km,650
볼보 뉴 XC90 D5 AWD 인스크립션,자동,7인승,4기통,235마력,49kgm,디젤,3만km,
벤츠 S350 d 4매틱 AMG 라인,자동,5인승,6기통,286마력,61.2kgm,디젤,1만km,
벤츠 S63L AMG 4매틱 플러스,자동,5인승,8기통,612마력,91.8kgm,가솔린,3만km,
BMW 3 6세대 320d 모던 ,자동,5인승,4기통,184마력,38.8kgm,디젤,20만km,770
아우디 A4 4세대 2.0 TFSI 콰트로  다이나믹 ,자동,5인승,4기통,211마력,35.7kgm,가솔린,14만km,550
아우디 A5 1세대  35 TDI 콰트로 스포트백 ,자동,5인승,4기통,190마력,40.8kgm,디젤,7만km,"1,690"
재규어 XF 3.0D 럭셔리 X250,자동,5인승,6기통,240마력,51kgm,가솔린,11만km,820
BMW 5 6세대 520d ,자동,5인승,4기통,184마력,38.8kgm,디젤,11만km,"1,520"
롤스로이스 고스트 시리즈2 V12 6.6 EWB,자동,5인승,12기통,571마력,79.6kgm,가솔린,3만km,"28,132"
BMW i8 로드스터,자동,2인승,3기통,374마력,58.1kgm,가솔린+전기,8천km,"17,000"
마세라티 콰트로포르테 3.0 S Q4 그란루쏘,자동,5인승,6기통,410마력,56.1kgm,가솔린,1만km,"8,980"
아우디 R8 5.2 V10 플러스 쿠페,자동,2인승,10기통,550마력,55.1kgm,가솔린,6만km,"11,500"
닷지 램 픽업 5.7L 레블,자동,,,,,가솔린,2만km,"5,990"
아우디 A6 35 TDI 프리미엄,자동,5인승,4기통,190마력,40.8kgm,디젤,5만km,
벤츠 E300 AMG 라인,자동,5인승,4기통,245마력,37.7kgm,가솔린,7만km,
인피니티 G35 쿠페,자동,4인승,6기통,280마력,37kgm,가솔린,12만km,490
랜드로버 뉴 레인지로버 5.0 V8 SC 보그 SE,자동,5인승,8기통,510마력,63.8kgm,가솔린,4만km,
벤츠 S450L 4매틱,자동,5인승,6기통,367마력,51kgm,가솔린,7만km,"10,690"
랜드로버 레인지로버 벨라 3.0 D300 R-다이나믹 HSE,자동,5인승,6기통,300마력,71.4kgm,디젤,1만km,"8,830"
벤츠 CLS 350,자동,4인승,6기통,306마력,37.7kgm,가솔린,9만km,"2,450"
페라리 로마 3.9 V8,자동,4인승,8기통,620마력,77.5kgm,가솔린,198km,
맥라렌 675LT 쿠페,자동,2인승,,,,가솔린,4천km,
벤틀리 벤테이가 4.0 V8,자동,5인승,8기통,550마력,78.5kgm,가솔린,2만km,
벤츠 CL55 AMG,자동,4인승,,,,가솔린,10만km,
벤틀리 브룩랜즈 6.7 세단,자동,5인승,,,,가솔린,11만km,
마이바흐 62 5.5 V12,자동,4인승,12기통,550마력,91.8kgm,가솔린,7만km,
닛산 알티마 2.5,자동,5인승,4기통,170마력,24.2kgm,가솔린,18만km,
폭스바겐 골프 2.0 TDI,자동,5인승,4기통,140마력,32.6kgm,디젤,13만km,
재규어 F타입 P300 쿠페,자동,2인승,4기통,300마력,40.8kgm,가솔린,1만km,"7,450"
벤츠 C220 d 4매틱 익스클루시브,자동,5인승,4기통,194마력,40.8kgm,디젤,1만km,
BMW 320i ,자동,5인승,4기통,156마력,20.4kgm,가솔린,8만km,879
BMW 530i xDrive 럭셔리 라인 플러스,자동,5인승,4기통,252마력,35.7kgm,가솔린,3천km,"5,350"
BMW 740Li xDrive,자동,5인승,6기통,326마력,45.9kgm,가솔린,20만km,
벤틀리 컨티넨탈 GT 6.0,자동,4인승,12기통,560마력,66.3kgm,가솔린,6만km,
벤틀리 컨티넨탈 GT 4.0 V8,자동,4인승,8기통,507마력,67.3kgm,가솔린,2만km,
벤틀리 컨티넨탈 GT 4.0 V8 S,자동,4인승,8기통,528마력,69.4kgm,가솔린,3만km,
포르쉐 마칸 2.9 GTS,자동,5인승,6기통,380마력,53kgm,가솔린,1만km,
페라리 포르토피노 3.9 V8,자동,4인승,8기통,600마력,77.5kgm,가솔린,6천km,
BMW M5 세단,수동,5인승,,,,가솔린,5만km,
벤츠 E53 AMG 4매틱 플러스,자동,5인승,6기통,435마력,53kgm,가솔린,219km,
볼보 S90 D5 AWD 인스크립션,자동,5인승,4기통,235마력,49kgm,디젤,1만km,
포드 F150 3.5 랩터,자동,5인승,,,,가솔린,4천km,
BMW X4 xDrive M40d,자동,5인승,6기통,326마력,69.4kgm,디젤,1만km,
링컨 올 뉴 에비에이터 3.0 V6 블랙 라벨,자동,6인승,6기통,405마력,57.7kgm,가솔린,2만km,
BMW 330i M 스포츠 쉐도우 에디션,자동,5인승,4기통,252마력,35.7kgm,가솔린,4만km,
지프 글래디에이터 3.6 V6 루비콘,자동,5인승,,,,가솔린,3천km,
아우디 뉴 TT 로드스터 45 TFSI 콰트로,자동,2인승,4기통,220마력,35.7kgm,가솔린,4만km,
포드 F150 3.5 랩터,자동,5인승,,,,가솔린,1천km,
포드 머스탱 쿠페,자동,4인승,4기통,291마력,44.9kgm,가솔린,1만km,
BMW M3 세단 페인트워크 에디션,자동,5인승,6기통,431마력,56.1kgm,가솔린,5만km,
포드 F150 3.5 에코부스트 4WD 플래티넘,자동,5인승,,,,가솔린,5만km,
벤츠 G63 AMG,자동,5인승,8기통,585마력,86.7kgm,가솔린,13km,"5,000"
벤츠 G63 AMG 에디션,자동,5인승,8기통,585마력,86.7kgm,가솔린,15km,"5,500"
지프 올 뉴 컴패스 2.4 리미티드 ,자동,5인승,4기통,175마력,23.5kgm,가솔린,1만km,"2,600"
람보르기니 아벤타도르 LP700-4 로드스터 피렐리 에디션,자동,2인승,12기통,700마력,70.4kgm,가솔린,1만km,
벤틀리 뉴 컨티넨탈 GT 6.0 W12,자동,,,,,가솔린,4천km,
﻿지프 올 뉴 랭글러 2.0 루비콘 4도어 하이,자동,5인승,4기통,272마력,40.8kgm,가솔린,6만km,
BMW 750Li xDrive,자동,5인승,8기통,449마력,66.3kgm,가솔린,4만km,
벤츠 CLS 250 d 4매틱,자동,4인승,4기통,204마력,51kgm,디젤,9만km,
벤츠 GLS 500 4매틱,자동,7인승,8기통,455마력,71.4kgm,가솔린,4만km,
람보르기니 아벤타도르 LP770-4 SVJ 로드스터,자동,2인승,12기통,770마력,73.4kgm,가솔린,4천km,"81,000"
