차명,변속기,인승,기통,마력,최대토크,연료,주행거리,상담
허머 H2 SUT 6.0,자동,5인승,,,,가솔린,27만km,"4,550"
벤츠 S500L,자동,5인승,8기통,388마력,54.1kgm,가솔린,20만km,
렉서스 뉴 GS 350 이그제큐티브,자동,5인승,6기통,310마력,38.1kgm,가솔린,13만km,
링컨 네비게이터 5.4 4WD,자동,7인승,,,,가솔린,6만ml,
렉서스 LS 460,자동,5인승,8기통,380마력,51.2kgm,가솔린,22만km,770
벤츠 S500L,자동,5인승,8기통,388마력,54.1kgm,가솔린,25만km,"1,750"
BMW 520d,자동,5인승,4기통,184마력,38.8kgm,디젤,14만km,"1,850"
아우디 R8 5.2 V10 플러스 쿠페,자동,2인승,10기통,610마력,57.1kgm,가솔린,5만km,
마세라티 르반떼 3.0 그란루쏘,자동,5인승,6기통,350마력,51kgm,가솔린,2만km,
캐딜락 에스컬레이드 6.2 V8 ESV AWD 플래티넘,자동,,,,,가솔린,3만km,
애스턴마틴 DB9 볼란테  ,자동,4인승,12기통,517마력,63.2kgm,가솔린,1만km,"11,500"
포르쉐 파나메라 3.0 4,자동,4인승,6기통,330마력,45.9kgm,가솔린,1만km,
벤츠 S350L d 4매틱,자동,5인승,6기통,258마력,63.2kgm,디젤,4만km,계약
포드 익스플로러 2.3 에코부스트 리미티드 ,자동,7인승,4기통,274마력,41.5kgm,가솔린,4만km,"3,690"
렉서스 LS 500 AWD 럭셔리,자동,5인승,6기통,422마력,61.2kgm,가솔린,3만km,
도요타 타코마 픽업 3.5 4WD TRD 스포츠,자동,,,,,가솔린,10만km,
BMW X6 xDrive 50i,자동,5인승,8기통,407마력,61.2kgm,가솔린,9만km,
벤츠 S500L,자동,5인승,8기통,455마력,71.4kgm,가솔린,14만km,"5,500"
벤츠 G 3세대 G63 AMG ,자동,5인승,8기통,585마력,86.7kgm,가솔린,22km,"3,800"
지프 랭글러 3.6 사하라 4도어  JK 에디션 JK,자동,5인승,6기통,284마력,35.4kgm,가솔린,2만km,"3,420"
벤틀리 컨티넨탈 GT 6.0,자동,4인승,12기통,575마력,71.4kgm,가솔린,5만km,"9,490"
아우디 A4 4세대 2.0 TDI 콰트로 다이내믹 ,자동,5인승,4기통,177마력,38.8kgm,디젤,22만km,720
