차명,변속기,인승,기통,마력,최대 토그,연료,주행거리,가격
현대 포터2 초장축 슈퍼캡 냉동탑차,수동,3인승,,,,디젤,6만km,"1,570"
르노삼성 QM6 2.0 GDe 2WD RE 시그니처,자동,5인승,4기통,144마력,20.4kgm,가솔린,9천km,"2,610"
현대 팰리세이드 2.2 디젤 2WD 프레스티지,자동,,,,,디젤,2만km,"3,760"
쌍용 G4 렉스턴 2.2 디젤 4WD 헤리티지,자동,5인승,4기통,187마력,42.8kgm,디젤,8만km,"2,480"
기아 봉고3 냉동 탑차,수동,3인승,,,,디젤,15만km,"1,070"
르노삼성 QM6 2.0 GDe 2WD RE 시그니처,자동,5인승,4기통,144마력,20.4kgm,가솔린,3만km,"2,190"
현대 YF쏘나타 2.0 Y20  프라임,자동,5인승,4기통,165마력,20.2kgm,가솔린,16만km,350
기아 포르테 쿱 1.6 CVVT 고급형,자동,5인승,4기통,124마력,15.9kgm,가솔린,13만km,279
케이씨 노블클라쎄 카니발,자동,7인승,6기통,280마력,34.7kgm,가솔린,2만km,"4,850"
현대 엑센트  1.6 GDi 위트 프리미엄,자동,5인승,4기통,140마력,16.9kgm,가솔린,7만km,710
기아 K5 하이브리드 프레스티지,자동,5인승,4기통,191마력,27kgm,가솔린+전기,9만km,950
쌍용 티볼리 1.6 디젤 2WD LX,자동,5인승,4기통,115마력,30.6kgm,디젤,5만km,"1,250"
현대 YF쏘나타 2.0 Y20 프리미어 최고급형,자동,5인승,4기통,165마력,20.2kgm,가솔린,12만km,600
기아 더 뉴 K7 2.4 GDI 프레스티지 스페셜,자동,5인승,4기통,201마력,25.5kgm,가솔린,9만km,"1,200"
기아 K5 하이브리드 프레스티지,자동,5인승,4기통,191마력,27kgm,가솔린+전기,13만km,700
기아 K3 쿱 1.6 T-GDi 노블레스,자동,5인승,4기통,204마력,27kgm,가솔린,8만km,650
현대 그랜져HG 300 프리미엄 컬렉션,자동,5인승,6기통,270마력,31.5kgm,가솔린,7만km,"1,300"
현대 그랜져TG L330 모젠 탑 메모리팩,자동,5인승,6기통,233마력,31kgm,가솔린,13만km,400
기아 올 뉴 쏘렌토 2.0 디젤 4WD 프레스티지,자동,5인승,4기통,186마력,41kgm,디젤,6만km,"2,200"
쌍용 코란도 C 클러비 2WD 파크,자동,5인승,4기통,181마력,36.7kgm,디젤,6만km,590
르노삼성 QM3 RE,자동,5인승,4기통,90마력,22.4kgm,디젤,4만km,730
현대 올 뉴 투싼 2.0 E-VGT 2WD 모던,자동,5인승,4기통,186마력,41kgm,디젤,9만km,"1,590"
현대 뉴 i30 1.6 VGT PYL,자동,5인승,4기통,128마력,26.5kgm,디젤,6만km,550
기아 올 뉴 K7 3.0 LPi 디럭스,자동,5인승,6기통,235마력,28.6kgm,LPG,7만km,"1,250"
현대 싼타페DM 2.0 VGT 2WD 모던,자동,,,,,디젤,14만km,990
현대 뉴 제네시스 G330 프리미엄,자동,5인승,6기통,282마력,35.4kgm,가솔린,15만km,"1,890"
기아 K7 VG270 LPI 프레스티지 프리미엄,자동,5인승,,,,LPG,14만km,550
현대 그랜드스타렉스 리무진,자동,11인승,,,,디젤,17만km,"1,240"
쌍용 코란도 지프 RV 디젤 5인승,수동,,,,,디젤,27만km,500
현대 벨로스터 N 2.0 T-GDi 퍼포먼스 패키지,수동,5인승,,,,가솔린,10만km,"1,550"
현대 뉴 i30 2.0 GDi D 스펙,수동,,,,,가솔린,8만km,600
광일 이동업무차,자동,,,,,디젤,7천km,"4,900"
기아 K5 2.0  럭셔리,자동,5인승,4기통,165마력,20.2kgm,가솔린,12만km,600
현대 포터2 초장축 일반캡 CRDi 일반형,수동,,,,,디젤,8만km,830
현대 그랜드스타렉스 VAN 3인승  CVX 디럭스 ,자동,3인승,,,,디젤,10만km,470
기아 K5 2.0 노블레스,자동,5인승,4기통,165마력,20.2kgm,가솔린,9만km,380
기아 봉고3 1톤 4X2 CRDI 초장축 킹캡,수동,3인승,,,,디젤,7만km,860
기아 봉고3 1톤 더블캡 초장축,수동,5인승,,,,디젤,9만km,350
현대 코나 1.6 e-VGT 2WD 모던 테크,자동,5인승,4기통,136마력,26.9kgm,디젤,8만km,"1,450"
클럽넘버원 카니발 하이리무진,자동,7인승,4기통,202마력,45kgm,디젤,8천km,"7,250"
현대 갤로퍼 롱바디 인터쿨러 엑시드 7인승,수동,7인승,4기통,100마력,25kgm,디젤,21만km,"1,780"
기아 카니발 4세대 2.2 디젤 9인승 시그니처,자동,9인승,,,,디젤,36km,"6,200"
케이씨 노블 클라쎄 카니발,자동,9인승,6기통,280마력,34.7kgm,가솔린,6만km,"4,500"
기아 카니발 4세대 3.5 가솔린 9인승 시그니처,자동,9인승,6기통,294마력,36.2kgm,가솔린,21km,"6,150"
르노삼성 QM6 2.0 dCi 4WD  RE 시그니처,자동,5인승,4기통,177마력,38.8kgm,디젤,6만km,"2,150"
현대 더 뉴 아반떼AD G1.6 스타일,자동,5인승,4기통,123마력,15.7kgm,가솔린,5만km,"1,199"
현대 아반떼AD 1.6 T-GDi 스포츠  익스트림 셀렉션,자동,5인승,4기통,204마력,26.9kgm,가솔린,6만km,"1,279"
기아 모하비 더 마스터 3.0 디젤 4WD 5인승 마스터즈,자동,5인승,6기통,260마력,56.1kgm,디젤,2만km,"4,650"
기아 더 뉴 K7 3.3 GDI  노블레스,자동,5인승,6기통,294마력,35.3kgm,가솔린,12만km,"1,270"
