차명,변속기,인승,기통,마력,최대 토그,연료,주행거리,가격
현대 e-에어로타운 캠핑카 ,수동,,,,,디젤,23만km,"4,500"
르노삼성 XM3 1.3 TCe  RE 시그니처,자동,5인승,4기통,152마력,26kgm,가솔린,5만km,200
현대 더 뉴 제네시스 쿠페 200 터보 D,자동,4인승,4기통,275마력,38kgm,가솔린,13만km,"1,150"
현대 더 뉴 그랜져 G2.5 캘리그래피,자동,5인승,,,,가솔린,3천km,"2,429"
현대 그랜져HG 300 노블,자동,5인승,6기통,270마력,31.5kgm,가솔린,18만km,"1,230"
쉐보레 스파크 S  LT,자동,5인승,,,,가솔린,7만km,490
르노삼성 SM6 2.0 GDe  LE,자동,5인승,4기통,150마력,20.6kgm,가솔린,5만km,"1,280"
기아 K5 2세대 2.0 가솔린 MX 노블레스 스페셜,자동,5인승,4기통,168마력,20.5kgm,가솔린,12만km,"1,290"
기아 K5 2.0 LPi  디럭스,자동,5인승,,,,LPG,22만km,400
쌍용 뉴 체어맨W V8 5000 서밋,자동,4인승,8기통,306마력,45kgm,가솔린,18만km,"1,700"
현대 제네시스 쿠페 200 터보 R,수동,4인승,4기통,210마력,30.5kgm,가솔린,14만km,690
쉐보레 올 뉴 말리부 1.5 터보 LTZ 프리미엄 세이프티,자동,5인승,4기통,166마력,25.5kgm,가솔린,6만km,"1,490"
쉐보레 크루즈 5도어 2.0 LTZ 플러스,자동,5인승,4기통,163마력,36.7kgm,디젤,12만km,440
쉐보레 말리부 2.0 디젤 LT 디럭스팩,자동,5인승,6기통,156마력,35.8kgm,디젤,10만km,780
현대 갤로퍼 롱바디 디젤 엑시드 9인승,수동,9인승,4기통,85마력,20kgm,디젤,20만km,750
기아 올 뉴 모닝 1.0 가솔린 디럭스 스페셜,자동,5인승,3기통,82마력,9.6kgm,가솔린,5만km,500
현대 YF쏘나타 2.0 Y20 프리미어,자동,5인승,4기통,165마력,20.2kgm,가솔린,15만km,450
기아 더 K9 3.8 GDI AWD 베스트 셀렉션Ⅰ,자동,5인승,6기통,315마력,40.5kgm,가솔린,2천km,"5,300"
현대 쏘나타 G1.6T 스마트,자동,5인승,4기통,180마력,27kgm,LPG,8만km,"17,000,000"
현대 투싼ix 가솔린 LX20 2WD 럭셔리,자동,5인승,4기통,166마력,20.1kgm,디젤,5만km,680
쉐보레 더 뉴 스파크 1.0 프리미어,자동,5인승,4기통,75마력,9.7kgm,가솔린,1천km,"1,350"
기아 더 프레스티지 K7 3.0 LPi  프레스티지,자동,5인승,,,,LPG,24만km,800
르노삼성 뉴 SM5 SE  플러스,자동,5인승,4기통,140마력,18.8kgm,가솔린,8만km,170
현대 더 뉴 아반떼 1.6 VGT 스마트,수동,5인승,4기통,128마력,26.5kgm,디젤,8만km,630
현대 더 뉴 그랜드스타렉스 LPI 어린이 보호차  15인승,자동,15인승,,,,LPG,1만km,"2,200"
현대 그랜져TG Q270 럭셔리,자동,5인승,6기통,195마력,25.6kgm,가솔린,20만km,220
기아 뉴 쎄라토 1.6 CVVT SLX 기본형,자동,5인승,4기통,121마력,15.6kgm,가솔린,14만km,240
GM대우 윈스톰 LT 7인승 2WD 고급형,자동,7인승,4기통,145마력,31.6kgm,디젤,17만km,200
현대 그랜져IG 3.0 GDI 익스클루시브,자동,5인승,6기통,266마력,31.4kgm,가솔린,14만km,계약
현대 제네시스 BH330 럭셔리,자동,5인승,6기통,300마력,35.5kgm,가솔린,27만km,"1,290"
현대 제네시스 GP500 프라다,자동,5인승,8기통,430마력,52kgm,가솔린/LPG겸용,16만km,"2,090"
﻿기아 더 뉴 쏘렌토 2.0 디젤 2WD 럭셔리,자동,5인승,4기통,186마력,41kgm,디젤,4만km,"2,360"
기아 올 뉴 쏘렌토 2.0 디젤 2WD 노블레스 스페셜,자동,5인승,4기통,186마력,41kgm,디젤,2만km,"2,470"
기아 더 뉴 쏘렌토 2.0 디젤 2WD  노블레스 스페셜,자동,5인승,4기통,186마력,41kgm,디젤,7만km,"2,650"
르노삼성 SM6 1.5 dCi  LE,자동,5인승,4기통,110마력,25.5kgm,디젤,8만km,"1,460"
현대 아반떼AD 1.6 GDi 모던,자동,5인승,4기통,132마력,16.3kgm,가솔린,9만km,"1,050"
현대 더 뉴 그랜져 G2.5  캘리그래피,자동,5인승,,,,가솔린,86km,"4,199"
기아 올 뉴 쏘렌토 2.0 디젤 2WD 노블레스,자동,5인승,4기통,186마력,41kgm,디젤,11만km,"1,870"
현대 아반떼AD 1.6 GDi 스마트,자동,5인승,4기통,132마력,16.3kgm,가솔린,9만km,920
기아 K5 3세대 G1.6T  프레스티지,자동,5인승,,,,가솔린,8천km,"2,599"
기아 더 뉴 쏘렌토 2.0 디젤 2WD  마스터,자동,5인승,4기통,186마력,41kgm,디젤,4만km,"2,799"
쌍용 올 뉴 렉스턴 2.2 디젤 4WD 더 블랙,자동,,,,,디젤,8천km,"4,230"
기아 올 뉴 쏘렌토 2.2 디젤 4WD  프레스티지,자동,5인승,4기통,202마력,45kgm,디젤,9만km,"1,899"
현대 아반떼AD 1.6 T-GDi 스포츠 익스트림 셀렉션,자동,5인승,4기통,204마력,26.9kgm,가솔린,3만km,"1,499"
쉐보레 트레일블레이저 1.3 터보  프리미어,자동,5인승,3기통,156마력,24.1kgm,가솔린,1천km,"2,199"
쌍용 렉스턴 스포츠 2.2 디젤 4WD  노블레스,자동,5인승,,,,디젤,1만km,"2,599"
쌍용 렉스턴 스포츠 2.2 디젤 4WD  노블레스,자동,5인승,,,,디젤,2만km,"2,770"
현대 아반떼AD 1.6 GDi  프리미엄,자동,5인승,4기통,132마력,16.3kgm,가솔린,5만km,"1,420"
쌍용 G4 렉스턴 2.2 디젤 4WD 헤리티지 스페셜,자동,5인승,4기통,187마력,42.8kgm,디젤,7천km,"3,599"
기아 더 뉴 쏘렌토 2.0 디젤 2WD  프레스티지,자동,5인승,4기통,186마력,41kgm,디젤,4만km,"2,430"
기아 올 뉴 쏘렌토 2.2 디젤 4WD  노블레스,자동,5인승,4기통,202마력,45kgm,디젤,1만km,"2,540"
기아 더 뉴 K7 2.4 GDI  프레스티지 스페셜,자동,5인승,4기통,201마력,25.5kgm,가솔린,13만km,860
기아 K5 3세대 G1.6T  시그니처,자동,5인승,,,,가솔린,2만km,"2,750"
쌍용 렉스턴 스포츠 2.2 디젤 4WD  노블레스,자동,5인승,,,,디젤,2만km,"2,990"
기아 더 뉴 K7 3.0 GDI  프레스티지,자동,5인승,6기통,270마력,31.6kgm,가솔린,11만km,"1,199"
쌍용 G4 렉스턴 2.2 디젤 4WD 유라시아 에디션,자동,5인승,4기통,187마력,42.8kgm,디젤,7만km,"2,270"
현대 YF쏘나타 2.0 Y20 LPi 프리미어,자동,5인승,,,,LPG,15만km,450
제네시스 G70 2.0 T-GDi AWD  엘리트,자동,5인승,4기통,252마력,36kgm,가솔린,1천km,"3,520"
현대 아반떼AD 1.6 LPi  스마트 ,자동,5인승,4기통,120마력,15.5kgm,LPG,7만km,"1,040"
현대 아반떼AD 1.6 e-VGT 스마트 ,자동,5인승,4기통,136마력,26.9kgm,가솔린,11만km,699
르노삼성 QM6 2.0 GDe 2WD RE,자동,5인승,4기통,144마력,20.4kgm,가솔린,3만km,"1,699"
현대 올 뉴 아반떼 G1.6  인스퍼레이션,자동,5인승,4기통,123마력,15.7kgm,가솔린,2천km,"1,999"
기아 K5 2세대 LPI MX 프레스티지,자동,5인승,,,,LPG,16만km,960
쉐보레 말리부 2.0 LTZ 디럭스팩,자동,5인승,6기통,141마력,18.8kgm,가솔린,18만km,450
기아 그랜드카니발 GLX 최고급형,자동,11인승,4기통,170마력,36kgm,디젤,18만km,420
쌍용 체어맨W CW700 프레스티지,자동,5인승,6기통,250마력,35kgm,가솔린,7만km,630
기아 더 뉴 K5 2.0 LPi 디럭스,자동,5인승,,,,LPG,8만km,590
르노삼성 SM6 1.6 TCe RE,자동,5인승,4기통,190마력,26.5kgm,가솔린,6만km,"1,290"
현대 그랜져HG 300 LPG 이그제큐티브,자동,5인승,,,,LPG,12만km,870
쉐보레 말리부 2.0 LTZ 디럭스팩,자동,5인승,6기통,141마력,18.8kgm,가솔린,10만km,520
현대 YF쏘나타 2.0 Y20 LPi 프리미어,자동,5인승,,,,LPG,11만km,390
현대 아반떼AD 1.6 GDi 스마트,자동,5인승,4기통,132마력,16.3kgm,가솔린,4만km,830
현대 뉴 에쿠스 VS 380 럭셔리,자동,5인승,6기통,290마력,36.5kgm,가솔린,14만km,690
쌍용 티볼리 1.6 가솔린 2WD LX,자동,5인승,4기통,126마력,16kgm,가솔린,4만km,890
현대 아반떼MD M16 GDi 탑,자동,5인승,4기통,140마력,16.9kgm,가솔린,10만km,390
현대 포터2 초장축 슈퍼캡 CRDi 기본형,수동,,,,,디젤,9만km,650
기아 레이 1.0 가솔린 프레스티지,자동,5인승,3기통,78마력,9.6kgm,가솔린,2만km,850
쉐보레 말리부 2.0  LTZ,자동,5인승,6기통,141마력,18.8kgm,가솔린,16만km,470
현대 아반떼AD 1.6 e-VGT  스타일 ,자동,5인승,4기통,136마력,26.5kgm,디젤,10만km,590
GM대우 마티즈 크리에이티브 그루브 스타,자동,5인승,4기통,70마력,9.4kgm,가솔린,13만km,250
기아 레이 1.0 가솔린 디럭스 스페셜,자동,5인승,3기통,78마력,9.6kgm,가솔린,14만km,510
기아 올 뉴 모닝 밴 고급형,자동,2인승,,,,디젤,7만km,390
쌍용 G4 렉스턴 2.2 디젤 4WD 화이트 에디션,자동,5인승,4기통,187마력,42.8kgm,디젤,300km,"3,590"
기아 올 뉴 카니발 2.2 디젤 9인승 프레스티지,자동,9인승,4기통,202마력,45kgm,디젤,3만km,"1,800"
현대 싼타페DM 2.0 VGT 2WD 프리미엄,자동,,,,,디젤,16만km,"1,290"
쉐보레 올 뉴 크루즈 1.4 터보 LTZ,자동,5인승,4기통,153마력,24.5kgm,가솔린,7만km,"1,190"
기아 더 프레스티지 K7 2.4 GDI 럭셔리,자동,5인승,4기통,201마력,25.5kgm,가솔린,14만km,699
현대 벨로스터 1.6 T-GDi 스포츠,수동,4인승,4기통,204마력,27kgm,가솔린,2만km,"1,790"
쌍용 뉴 코란도 C 2.2 디젤  RX 최고급형,자동,5인승,4기통,178마력,40.8kgm,디젤,11만km,999
제네시스 G70 2.2 디젤 슈프림,자동,5인승,4기통,202마력,45kgm,디젤,6만km,"3,050"
르노삼성 뉴 SM5  LE 익스클루시브,자동,5인승,4기통,141마력,19.8kgm,가솔린,16만km,420
현대 그랜드스타렉스 캠핑카,자동,,,,,디젤,16만km,"1,850"
현대 베라크루즈 2WD 300VX  럭셔리,자동,7인승,6기통,245마력,46kgm,디젤,16만km,890
쌍용 티볼리 에어 1.5 가솔린 2WD A3,자동,5인승,4기통,163마력,26.5kgm,가솔린,6천km,"2,150"
현대 포터2 초장축 더블캡 CRDi  고급형,자동,,,,,디젤,11만km,"1,400"
기아 레이 1.0 가솔린  디럭스,자동,5인승,3기통,78마력,9.6kgm,가솔린,5만km,890
현대 뉴 에쿠스 VS 380 럭셔리,자동,5인승,6기통,290마력,36.5kgm,가솔린,29만km,670
기아 더 뉴 K7 3.0 LPi 럭셔리,자동,,,,,LPG,20만km,800
현대 뉴 에쿠스 VS 380 익스클루시브,자동,5인승,6기통,334마력,40.3kgm,가솔린,12만km,"2,520"
기아 더 뉴 K7 3.0 LPi 럭셔리,자동,,,,,LPG,20만km,700
현대 베라크루즈 2WD 300VX  월드컵 스페셜 에디션,자동,7인승,6기통,245마력,46kgm,디젤,15만km,"1,020"
﻿기아 더 뉴 K7 2.4 GDI 프레스티지 스페셜,자동,5인승,4기통,201마력,25.5kgm,가솔린,13만km,830
쉐보레 스파크 LPGi LT,자동,5인승,4기통,65마력,9.3kgm,LPG,8만km,360
기아 뉴모닝 SLX 고급형 블랙 프리미엄,자동,5인승,4기통,64마력,8.8kgm,가솔린,10만km,300
쉐보레 캡티바 2.2 디젤 4WD  LT,자동,5인승,,,,디젤,11만km,760
현대 i30 1.6 VGT 프리미어,자동,5인승,4기통,117마력,26.5kgm,디젤,16만km,340
쌍용 체어맨W CW700 프레스티지,자동,5인승,6기통,250마력,35kgm,가솔린,11만km,610
기아 모하비 JV300 4WD 최고급형,자동,7인승,6기통,250마력,55.1kgm,디젤,23만km,950
기아 그랜드카니발 R GX 고급형,자동,11인승,,,,디젤,18만km,440
기아 뉴 카렌스 2.0 LPI GLX 최고급형,자동,7인승,4기통,136마력,18.9kgm,LPG,19만km,270
르노삼성 뉴 SM3 LE,자동,5인승,4기통,112마력,15.9kgm,가솔린,18만km,250
현대 싼타페DM 2.0 VGT 4WD  프리미엄,자동,7인승,4기통,184마력,41kgm,디젤,16만km,"1,180"
현대 그랜져HG 240 럭셔리,자동,5인승,4기통,201마력,25.5kgm,가솔린,17만km,720
기아 올 뉴 카니발 2.2 디젤 9인승 노블레스,자동,9인승,4기통,202마력,45kgm,디젤,9만km,"1,900"
현대 제네시스 BH330 그랜드 프라임팩,자동,5인승,6기통,262마력,32.1kgm,가솔린,22만km,500
기아 쏘렌토R 2.0 TLX 2WD  최고급형,자동,7인승,4기통,184마력,40kgm,디젤,17만km,759
기아 뉴 쏘렌토R 디젤 2.0 2WD 리미티드,자동,7인승,4기통,184마력,41kgm,디젤,19만km,950
기아 뉴 오피러스 GH330  최고급형,자동,5인승,6기통,247마력,31.5kgm,가솔린,13만km,260
르노삼성 QM6 2.0 GDe 2WD  RE 시그니처,자동,5인승,4기통,144마력,20.4kgm,가솔린,2만km,"2,400"
쉐보레 리얼 뉴 콜로라도 3.6 V6 4WD Z71-X,자동,5인승,,,,가솔린,6천km,"4,390"
쌍용 티볼리 에어 1.6 디젤 2WD RX,자동,5인승,4기통,115마력,30.6kgm,디젤,9만km,"1,320"
현대 뉴 에쿠스 VS 380 프라임,자동,5인승,6기통,334마력,40.3kgm,가솔린,29만km,860
기아 봉고3 캠핑카,자동,,,,,디젤,15만km,"2,050"
기아 더 K9 3.8 GDI AWD 플래티넘Ⅱ,자동,5인승,6기통,315마력,40.5kgm,가솔린,5만km,"4,150"
기아 올 뉴 모닝 1.0 가솔린  럭셔리,자동,5인승,3기통,82마력,9.6kgm,가솔린,8만km,400
현대 아반떼MD M16 GDi 디럭스,자동,5인승,4기통,,,가솔린,18만km,450
기아 더 뉴 모닝 바이퓨얼 스마트,자동,5인승,3기통,78마력,9.6kgm,가솔린/LPG겸용,10만km,490
현대 더 뉴 그랜드스타렉스 밴 3인승 스마트,자동,3인승,,,,디젤,5만km,"2,150"
쉐보레 올란도 2.0 LPI  LT 컨비니언스,자동,7인승,4기통,140마력,18.8kgm,LPG,25만km,450
기아 스토닉 1.6 디젤 트렌디,자동,5인승,4기통,110마력,30.6kgm,디젤,4만km,"1,500"
기아 올 뉴 K7 2.4 GDi  리미티드,자동,5인승,4기통,190마력,24.6kgm,가솔린,7만km,"1,930"
기아 그랜드카니발 R  GLX 고급형,자동,11인승,,,,디젤,6만km,"1,099"
기아 그랜드카니발 GLX 기본형,자동,11인승,4기통,170마력,36kgm,디젤,14만km,330
현대 그랜드스타렉스 캠핑카 ,자동,,,,,디젤,11만km,"2,500"
현대 더 럭셔리 그랜져 Q270 LPI 장애인용,자동,5인승,,,,LPG,14만km,590
르노삼성 SM6 2.0 LPe SE,자동,5인승,,,,LPG,9만km,"1,080"
현대 팰리세이드 3.8 가솔린 4WD 프레스티지,자동,,,,,가솔린,2만km,"3,990"
제네시스 GV80 3.0 디젤 AWD 7인승 ,자동,7인승,,,,디젤,1천km,0
제네시스 GV70 2.2 디젤 AWD,자동,5인승,4기통,210마력,45kgm,디젤,60km,0
제네시스 더 올 뉴 G80 2.5 T-GDi AWD ,자동,5인승,6기통,304마력,42.9kgm,가솔린,60km,0
기아 쏘렌토 4세대 G1.6T HEV 2WD  노블레스,자동,5인승,4기통,230마력,35.7kgm,가솔린+전기,60km,0
기아 더 K9 3.3 T-GDI AWD 그랜드 마스터즈,자동,5인승,6기통,370마력,52kgm,가솔린,10만km,"4,000"
현대 그랜드스타렉스 VAN 5인승 CVX 프리미엄,자동,5인승,,,,디젤,10만km,700
쉐보레 말리부 2.0 디젤 LT 프리미엄팩,자동,5인승,6기통,156마력,35.8kgm,디젤,8만km,580
현대 아반떼MD M16 GDi 탑,자동,5인승,4기통,140마력,16.9kgm,가솔린,10만km,350
기아 레이 1.0 가솔린 럭셔리,자동,5인승,3기통,78마력,9.6kgm,가솔린,8만km,520
기아 K5 2.0 LPi 럭셔리,자동,5인승,,,,LPG,10만km,500
기아 레이 1.0 가솔린 프레스티지,자동,5인승,3기통,78마력,9.6kgm,가솔린,5만km,680
르노삼성 뉴 SM5  LPLi 장애우용 LE,자동,5인승,,,,LPG,12만km,290
기아 그랜드카니발 R GLX R스페셜,자동,11인승,,,,디젤,12만km,500
기아 올 뉴 모닝 1.0 가솔린 럭셔리,자동,5인승,3기통,82마력,9.6kgm,가솔린,8만km,320
기아 K5 2.0 프레스티지,자동,5인승,4기통,165마력,20.2kgm,가솔린,6만km,460
기아 더 뉴 모닝 1.0 가솔린 럭셔리,자동,5인승,3기통,,,가솔린,4만km,480
현대 YF쏘나타 2.0 Y20 LPi 프리미어,자동,5인승,,,,LPG,12만km,390
현대 YF쏘나타 2.0 Y20 프리미어 최고급형,자동,5인승,4기통,165마력,20.2kgm,가솔린,10만km,289
기아 올 뉴 모닝 1.0 가솔린 디럭스 스페셜,자동,5인승,3기통,82마력,9.6kgm,가솔린,6만km,300
기아 K3 1.6 GDI 트렌디,자동,5인승,4기통,140마력,16.9kgm,가솔린,8만km,500
현대 아반떼AD 1.6 GDi 스마트 스페셜,자동,5인승,4기통,132마력,16.3kgm,가솔린,5만km,780
쉐보레 크루즈 2.0 LTZ 플러스,자동,5인승,4기통,163마력,36.7kgm,디젤,10만km,310
현대 YF쏘나타 2.0 Y20 LPi 프리미어,자동,5인승,,,,LPG,14만km,290
기아 레이 1.0 가솔린 프레스티지,자동,5인승,3기통,78마력,9.6kgm,가솔린,8만km,570
기아 뉴 카니발 R GLX,자동,9인승,,,,디젤,7만km,600
현대 그랜드스타렉스 리무진,자동,11인승,,,,디젤,9만km,"2,800"
현대 그랜드스타렉스 VAN 3인승 CVX 밸류 ,자동,3인승,,,,디젤,20만km,680
기아 더 K9 3.3 T-GDI AWD 베스트 셀렉션Ⅱ,자동,5인승,6기통,370마력,52kgm,가솔린,6천km,"6,750"
르노삼성 SM5 노바 디젤 D,자동,5인승,4기통,110마력,24.5kgm,디젤,12만km,650
기아 올 뉴 모닝 1.0 LPi 디럭스 JA,자동,5인승,3기통,,,LPG,3만km,690
기아 더 뉴 K3 쿱 1.6 T-GDi 노블레스,자동,5인승,4기통,204마력,27kgm,가솔린,9만km,"1,160"
기아 뉴 쏘렌토 7인승 2.5 VGT TLX 4WD  최고급형,자동,7인승,4기통,178마력,41kgm,디젤,12만km,370
르노삼성 SM5 노바 클래식,자동,5인승,4기통,141마력,19.8kgm,가솔린,1만km,"1,590"
현대 아반떼AD 1.6 GDi 스마트,자동,5인승,4기통,132마력,16.3kgm,디젤,9만km,990
﻿쉐보레 올란도 2.0 디젤 LTZ 프리미엄,자동,7인승,4기통,163마력,36.7kgm,디젤,13만km,449
르노삼성 올 뉴 SM7 RE,자동,5인승,6기통,190마력,24.8kgm,가솔린,8만km,490
현대 그랜져HG 240 럭셔리,자동,5인승,4기통,201마력,25.5kgm,가솔린,16만km,590
기아 더 뉴 스포티지R 2.0 디젤 2WD 노블레스,자동,5인승,4기통,184마력,41kgm,디젤,8만km,830
기아 올 뉴 쏘렌토 2.0 디젤 2WD 프레스티지,자동,5인승,4기통,186마력,41kgm,디젤,13만km,"1,640"
기아 스포티지 4세대 2.0 디젤 2WD 트렌디,자동,5인승,4기통,,,디젤,11만km,"1,290"
기아 올 뉴 K7 2.2 디젤 프레스티지,자동,5인승,,,,가솔린,6만km,"1,599"
현대 아반떼 LPi 하이브리드 1.6,자동,5인승,4기통,114마력,15.1kgm,가솔린+전기,16만km,190
기아 K3 1.6 GDI 노블레스,자동,5인승,4기통,140마력,16.9kgm,가솔린,12만km,320
기아 더 뉴 K5 2.0 LPi 프레스티지,자동,5인승,,,,LPG,10만km,720
기아 K5 3세대 G1.6T  노블레스,자동,5인승,,,,가솔린,1만km,"2,750"
다온 르벤투스 캠핑카,수동,,,,,디젤,1만km,"6,000"
현대 e-에어로타운 34인승  롱바디 전세/자가용,수동,,,,,디젤,7만km,"1,250"
현대 캠핑카 캠핑카 ,수동,,,,,디젤,9만km,"2,300"
기아 K5 2세대 LPI MX  프레스티지,자동,5인승,,,,LPG,10만km,"1,320"
기아 더 뉴 모닝 1.0 가솔린  럭셔리,자동,5인승,3기통,,,가솔린,7만km,720
현대 그랜져IG 2.4 GDI  프리미엄,자동,5인승,4기통,190마력,24.6kgm,가솔린,10만km,"1,990"
현대 YF쏘나타 2.0 Y20 LPi  프리미어 장애인용,자동,5인승,,,,LPG,21만km,440
르노삼성 뉴 SM5  LPLi  장애우용 LE,자동,5인승,,,,LPG,17만km,290
르노삼성 뉴 SM5  LPLi  장애우용 LE,자동,5인승,,,,LPG,15만km,370
현대 벨로스터 1.4 T-GDi  모던 코어 JS,자동,4인승,4기통,140마력,24.7kgm,가솔린,1만km,"1,470"
기아 K5 2세대 2.0 가솔린 SX 디럭스,자동,5인승,4기통,168마력,20.5kgm,가솔린,6만km,975
쌍용 체어맨H 500S  최고급형,자동,5인승,6기통,197마력,27kgm,가솔린,13만km,330
현대 제네시스 BH380  ,자동,5인승,,,,가솔린,23만km,720
현대 YF쏘나타 2.0 Y20  프리미어 최고급형,자동,5인승,4기통,165마력,20.2kgm,가솔린,15만km,490
르노삼성 SM5 노바 클래식 ,자동,5인승,4기통,141마력,19.8kgm,가솔린,8만km,850
현대 LF쏘나타 2.0 CVVL  스타일 스페셜,자동,5인승,4기통,168마력,20.5kgm,가솔린,9만km,"1,170"
현대 에쿠스 JS 380  프리미어 VIP,자동,5인승,6기통,266마력,36kgm,가솔린,21만km,240
쌍용 체어맨W CW700 VVIP,자동,5인승,6기통,250마력,35kgm,가솔린,18만km,430
쌍용 뉴 코란도 C 2.0 디젤 CVX 고급형,자동,5인승,4기통,181마력,36.7kgm,디젤,10만km,790
기아 그랜드카니발 GLX 기본형,자동,11인승,,,,디젤,17만km,390
기아 더 뉴 K3 1.6 VGT  트렌디,자동,5인승,4기통,136마력,30.6kgm,디젤,9만km,880
쉐보레 올 뉴 크루즈 1.4 터보 LT 디럭스,자동,5인승,4기통,153마력,24.5kgm,가솔린,9만km,950
르노삼성 뉴 SM3 LE ,자동,5인승,4기통,112마력,15.9kgm,가솔린,12만km,320
기아 뉴 쏘렌토 7인승 2.5 WGT LX 4WD 고급형,자동,7인승,4기통,145마력,33kgm,디젤,12만km,365
르노삼성 SM5 뉴 임프레션 LE ,자동,5인승,4기통,143마력,20kgm,가솔린,10만km,270
현대 LF쏘나타 2.0 CVVL 스마트,자동,5인승,4기통,168마력,20.5kgm,가솔린,18만km,750
기아 더 뉴 카렌스 1.7 VGT  프레스티지,자동,5인승,4기통,141마력,34.7kgm,디젤,4만km,"1,130"
쌍용 체어맨H 뉴 클래식 500S  최고급형,자동,5인승,6기통,200마력,27kgm,가솔린,7만km,650
르노삼성 SM5 노바 클래식,자동,5인승,4기통,141마력,19.8kgm,가솔린,7만km,920
르노삼성 SM5 뉴 임프레션 LE 익스클루시브,자동,5인승,4기통,143마력,20kgm,가솔린,20만km,270
기아 스포티지R 2.0 디젤 2WD TLX 고급형,자동,5인승,4기통,184마력,40kgm,디젤,15만km,699
현대 더 뉴 그랜드스타렉스 밴 3인승  스타일,자동,3인승,,,,디젤,9만km,"1,590"
현대 싼타페TM 2.0 디젤 2WD 익스클루시브,자동,5인승,4기통,186마력,41kgm,디젤,3만km,"2,699"
르노삼성 SM5 뉴 임프레션 LE 익스클루시브 ,자동,5인승,4기통,143마력,20kgm,가솔린,15만km,279
대우 뉴 라보 보냉탑차 일반형,수동,2인승,,,,LPG,7만km,450
기아 더 뉴 레이 1.0 가솔린 프레스티지,자동,5인승,3기통,76마력,9.7kgm,가솔린,7천km,"1,499"
GM대우 토스카 프리미엄6 L6 2.0 익스크루시브 ,자동,5인승,6기통,144마력,19.2kgm,가솔린,9만km,390
현대 포터2 초장축 슈퍼캡 CRDi  스타일,자동,,,,,디젤,18만km,"1,170"
기아 더 뉴 카니발 2.2 디젤 9인승 프레스티지,자동,9인승,4기통,202마력,45kgm,디젤,2만km,"2,770"
르노삼성 SM7 뉴 아트 RE35,자동,5인승,6기통,217마력,31.9kgm,가솔린,14만km,420
현대 LF쏘나타 2.0 LPi 스마트,자동,5인승,,,,LPG,11만km,"1,250"
기아 더 뉴 K3 1.6 GDi 트렌디 스타일,자동,5인승,4기통,132마력,16.3kgm,가솔린,9만km,"1,090"
기아 쏘렌토R 2.0 TLX 2WD 프리미엄,자동,7인승,4기통,184마력,40kgm,디젤,9만km,880
기아 더 뉴 K7 2.4 GDI 프레스티지 스페셜,자동,5인승,4기통,201마력,25.5kgm,가솔린,16만km,990
현대 그랜져HG 220 디젤 프리미엄,자동,5인승,4기통,202마력,45kgm,디젤,13만km,"1,450"
쌍용 티볼리 에어 1.6 디젤 2WD IX,자동,5인승,4기통,115마력,30.6kgm,디젤,14만km,"1,090"
기아 올 뉴 쏘렌토 2.0 디젤 2WD 노블레스,자동,5인승,4기통,186마력,41kgm,디젤,9만km,"1,940"
기아 모하비 KV300 4WD,자동,7인승,6기통,260마력,56kgm,디젤,13만km,"1,840"
현대 뉴 에쿠스 VS 500 프레스티지,자동,5인승,8기통,416마력,52kgm,가솔린,7만km,"2,700"
기아 K9 3.3 GDI 프레스티지,자동,5인승,6기통,300마력,35.5kgm,가솔린,14만km,"1,090"
제네시스 G80 3.3 GDi 럭셔리,자동,5인승,6기통,282마력,35.4kgm,가솔린,4만km,"3,480"
쌍용 티볼리 1.6 디젤 2WD  VX,자동,5인승,4기통,115마력,30.6kgm,디젤,7만km,"1,199"
현대 쏘나타 하이브리드 2.0 HEV  로얄,자동,5인승,4기통,191마력,27kgm,가솔린+전기,15만km,890
기아 레이 1.0 가솔린 프레스티지,자동,5인승,3기통,78마력,9.6kgm,가솔린,6만km,590
기아 뉴 카렌스 2.0 LPI GLX 최고급형,자동,7인승,4기통,141마력,19kgm,LPG,14만km,300
기아 올 뉴 모닝 1.0 가솔린 럭셔리 스포츠,자동,5인승,3기통,82마력,9.6kgm,가솔린,6만km,350
현대 그랜드스타렉스 WAGON 11인승  CVX 프리미엄,자동,11인승,,,,디젤,12만km,690
기아 스포티지R 2.0 디젤 2WD TLX 프리미엄,자동,5인승,4기통,184마력,40kgm,디젤,11만km,580
기아 올 뉴 K7  2.4 GDi 프레스티지,자동,5인승,4기통,190마력,24.6kgm,가솔린,9만km,"1,799"
﻿현대 싼타페DM 2.0 VGT 2WD  모던,자동,,,,,디젤,17만km,990
쌍용 코란도 스포츠 CX7 4WD  패션,자동,5인승,,,,디젤,6만km,970
현대 제네시스 BH330 럭셔리,자동,5인승,6기통,262마력,32.1kgm,가솔린,14만km,599
쌍용 티볼리 1.6 가솔린 2WD TX,자동,5인승,4기통,126마력,16kgm,가솔린,10만km,800
쌍용 액티언 클럽 2WD,자동,5인승,,,,디젤,14만km,340
현대 그레이스 15인승  그랜드 살롱,수동,15인승,,,,디젤,16만km,399
현대 e-카운티 롱바디 슈퍼  25인승,수동,,,,,디젤,30만km,990
현대 뉴스타렉스 점보 CRDI 12인승 2WD GRX 멀티  고급형,자동,12인승,,,,디젤,15만km,390
현대 e-카운티 롱바디 슈퍼  25인승,수동,,,,,디젤,23만km,"1,100"
